,Pavadinimas,Ketvirtis,Vertė
97,Šiluminės elektrinės,2014-Q1,0.497
98,Kruonio HAE,2014-Q1,0.135
99,Hidroelektrinės,2014-Q1,0.144
100,Vėjo elektrinės,2014-Q1,0.217
101,Kiti atsinaujinantys energijos ištekliai,2014-Q1,0.105
102,"     Elektrinės, kūrenamos biomase    ",2014-Q1,0.073
103,"     Elektrinės, kūrenamos biodujomis",2014-Q1,0.0
104,     Saulės energijos elektrinės,2014-Q1,0.01
105,     Atliekų deginimo elektrinės,2014-Q1,0.022
106,Baterijų technologijos,2014-Q1,0.0
107,Komercinis sistemos balansas (-Importas/+eksportas),2014-Q1,-1.898
108,Elektros energijos gamyba (Neto),2014-Q2,0.76
109,Šiluminės elektrinės,2014-Q2,0.289
110,Kruonio HAE,2014-Q2,0.143
111,Hidroelektrinės,2014-Q2,0.109
112,Vėjo elektrinės,2014-Q2,0.115
113,Kiti atsinaujinantys energijos ištekliai,2014-Q2,0.104
114,"     Elektrinės, kūrenamos biomase    ",2014-Q2,0.056
115,"     Elektrinės, kūrenamos biodujomis",2014-Q2,0.0
116,     Saulės energijos elektrinės,2014-Q2,0.028
117,     Atliekų deginimo elektrinės,2014-Q2,0.02
118,Baterijų technologijos,2014-Q2,0.0
119,Komercinis sistemos balansas (-Importas/+eksportas),2014-Q2,-1.932
120,Elektros energijos gamyba (Neto),2014-Q3,1.145
121,Šiluminės elektrinės,2014-Q3,0.696
122,Kruonio HAE,2014-Q3,0.18
123,Hidroelektrinės,2014-Q3,0.062
124,Vėjo elektrinės,2014-Q3,0.119
125,Kiti atsinaujinantys energijos ištekliai,2014-Q3,0.087
126,"     Elektrinės, kūrenamos biomase    ",2014-Q3,0.037
127,"     Elektrinės, kūrenamos biodujomis",2014-Q3,0.0
128,     Saulės energijos elektrinės,2014-Q3,0.027
129,     Atliekų deginimo elektrinės,2014-Q3,0.022
130,Baterijų technologijos,2014-Q3,0.0
131,Komercinis sistemos balansas (-Importas/+eksportas),2014-Q3,-1.636
132,Elektros energijos gamyba (Neto),2014-Q4,1.052
133,Šiluminės elektrinės,2014-Q4,0.45
134,Kruonio HAE,2014-Q4,0.223
135,Hidroelektrinės,2014-Q4,0.079
